LAST SEEN   TYPE      REASON                          OBJECT                                             MESSAGE
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-26nqh             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-26nqh to aks-icaptestnode-10971123-vmss00000b
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-26nqh             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-26nqh             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-26nqh             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-26nqh             Started container adaptation-service
6m6s        Normal    Killing                         pod/adaptation-service-fc5f75457-26nqh             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-29h7r             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-29h7r to aks-icaptestnode-10971123-vmss000022
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-29h7r             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-29h7r             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-29h7r             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-29h7r             Started container adaptation-service
6m11s       Warning   FailedMount                     pod/adaptation-service-fc5f75457-29h7r             MountVolume.SetUp failed for volume "adaptation-service-sa-token-vhhsk" : secret "adaptation-service-sa-token-vhhsk" not found
6m10s       Normal    Killing                         pod/adaptation-service-fc5f75457-29h7r             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-2b7pl             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-2b7pl to aks-icaptestnode-10971123-vmss00000z
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-2b7pl             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-2b7pl             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-2b7pl             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-2b7pl             Started container adaptation-service
6m10s       Warning   FailedMount                     pod/adaptation-service-fc5f75457-2b7pl             MountVolume.SetUp failed for volume "adaptation-service-sa-token-vhhsk" : secret "adaptation-service-sa-token-vhhsk" not found
6m8s        Normal    Killing                         pod/adaptation-service-fc5f75457-2b7pl             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-2vwzh             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-2vwzh to aks-icaptestnode-10971123-vmss00001y
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-2vwzh             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-2vwzh             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-2vwzh             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-2vwzh             Started container adaptation-service
6m12s       Normal    Killing                         pod/adaptation-service-fc5f75457-2vwzh             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-5fl9w             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-5fl9w to aks-icaptestnode-10971123-vmss000008
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-5fl9w             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-5fl9w             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-5fl9w             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-5fl9w             Started container adaptation-service
6m7s        Normal    Killing                         pod/adaptation-service-fc5f75457-5fl9w             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-5q4p2             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-5q4p2 to aks-icaptestnode-10971123-vmss00001m
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-5q4p2             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-5q4p2             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-5q4p2             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-5q4p2             Started container adaptation-service
6m10s       Normal    Killing                         pod/adaptation-service-fc5f75457-5q4p2             Stopping container adaptation-service
3m54s       Normal    Scheduled                       pod/adaptation-service-fc5f75457-746cz             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-746cz to aks-icaptestnode-10971123-vmss000028
3m53s       Normal    Pulled                          pod/adaptation-service-fc5f75457-746cz             Container image "glasswallsolutions/icap-adaptation-service:main-1d8a40a" already present on machine
3m53s       Normal    Created                         pod/adaptation-service-fc5f75457-746cz             Created container adaptation-service
3m53s       Normal    Started                         pod/adaptation-service-fc5f75457-746cz             Started container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-756h8             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-756h8 to aks-icaptestnode-10971123-vmss00002r
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-756h8             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-756h8             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-756h8             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-756h8             Started container adaptation-service
6m12s       Normal    Killing                         pod/adaptation-service-fc5f75457-756h8             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-7z8pk             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-7z8pk to aks-icaptestnode-10971123-vmss000013
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-7z8pk             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-7z8pk             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-7z8pk             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-7z8pk             Started container adaptation-service
6m7s        Normal    Killing                         pod/adaptation-service-fc5f75457-7z8pk             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-8vtzg             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-8vtzg to aks-icaptestnode-10971123-vmss00001j
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-8vtzg             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-8vtzg             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-8vtzg             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-8vtzg             Started container adaptation-service
6m6s        Normal    Killing                         pod/adaptation-service-fc5f75457-8vtzg             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-8w7j5             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-8w7j5 to aks-icaptestnode-10971123-vmss000028
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-8w7j5             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-8w7j5             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-8w7j5             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-8w7j5             Started container adaptation-service
6m10s       Normal    Killing                         pod/adaptation-service-fc5f75457-8w7j5             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-bn2c4             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-bn2c4 to aks-icaptestnode-10971123-vmss00000k
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-bn2c4             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-bn2c4             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-bn2c4             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-bn2c4             Started container adaptation-service
6m9s        Normal    Killing                         pod/adaptation-service-fc5f75457-bn2c4             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-bvrj4             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-bvrj4 to aks-icaptestnode-10971123-vmss00001o
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-bvrj4             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-bvrj4             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-bvrj4             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-bvrj4             Started container adaptation-service
6m9s        Normal    Killing                         pod/adaptation-service-fc5f75457-bvrj4             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-c9dqd             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-c9dqd to aks-icaptestnode-10971123-vmss000026
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-c9dqd             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-c9dqd             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-c9dqd             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-c9dqd             Started container adaptation-service
6m7s        Normal    Killing                         pod/adaptation-service-fc5f75457-c9dqd             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-d48cd             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-d48cd to aks-icaptestnode-10971123-vmss00001t
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-d48cd             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-d48cd             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-d48cd             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-d48cd             Started container adaptation-service
6m8s        Warning   FailedMount                     pod/adaptation-service-fc5f75457-d48cd             MountVolume.SetUp failed for volume "adaptation-service-sa-token-vhhsk" : secret "adaptation-service-sa-token-vhhsk" not found
6m7s        Normal    Killing                         pod/adaptation-service-fc5f75457-d48cd             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-ddtdr             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-ddtdr to aks-icaptestnode-10971123-vmss00002a
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-ddtdr             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-ddtdr             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-ddtdr             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-ddtdr             Started container adaptation-service
6m10s       Normal    Killing                         pod/adaptation-service-fc5f75457-ddtdr             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-dwjqs             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-dwjqs to aks-icaptestnode-10971123-vmss00002k
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-dwjqs             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-dwjqs             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-dwjqs             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-dwjqs             Started container adaptation-service
6m12s       Normal    Killing                         pod/adaptation-service-fc5f75457-dwjqs             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-fxl9b             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-fxl9b to aks-icaptestnode-10971123-vmss00002l
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-fxl9b             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-fxl9b             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-fxl9b             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-fxl9b             Started container adaptation-service
6m11s       Normal    Killing                         pod/adaptation-service-fc5f75457-fxl9b             Stopping container adaptation-service
